year,winner,winningParty,state,total,p1_votes,p1_percent,p1_EV,p2_votes,p2_percent,p2_EV,p3_votes,p3_percent,p3_EV,p4_votes,p4_percent,p4_EV,notes
1812,Madison,Federalist,New_York,0,0,,0,29,,0,0,,0,0,,0,Electoral votes only
1812,Madison,Democratic-Republican,North_Carolina,0,15,,0,0,,0,0,,0,0,,0,Electoral votes only
1812,Madison,Democratic-Republican,Ohio,0,7,,0,0,,0,0,,0,0,,0,Electoral votes only
1812,Madison,Democratic-Republican,Pennsylvania,0,25,,0,0,,0,0,,0,0,,0,Electoral votes only
1812,Madison,Federalist,Rhode_Island,0,0,,0,4,,0,0,,0,0,,0,Electoral votes only
1812,Madison,Democratic-Republican,South_Carolina,0,11,,0,0,,0,0,,0,0,,0,Electoral votes only
1812,Madison,Democratic-Republican,Tennessee,0,8,,0,0,,0,0,,0,0,,0,Electoral votes only
1812,Madison,Democratic-Republican,Vermont,0,8,,0,0,,0,0,,0,0,,0,Electoral votes only
1812,Madison,Democratic-Republican,Virginia,0,25,,0,0,,0,0,,0,0,,0,Electoral votes only
1816,Monroe,Federalist,Connecticut,0,0,,0,9,,0,0,,0,0,,0,Electoral votes only
1816,Monroe,Federalist,Delaware,0,0,,0,3,,0,0,,0,0,,0,Electoral votes only
1816,Monroe,Democratic-Republican,Georgia,0,8,,0,0,,0,0,,0,0,,0,Electoral votes only
1816,Monroe,Democratic-Republican,Indiana,0,3,,0,0,,0,0,,0,0,,0,Electoral votes only
1816,Monroe,Democratic-Republican,Kentucky,0,12,,0,0,,0,0,,0,0,,0,Electoral votes only
